x,y,T
-0.47000, 0.06000,  4.7614945249E-01
-0.47000, 0.07000,  4.7794690881E-01
-0.47000, 0.08000,  4.7994829228E-01
-0.47000, 0.09000,  4.8214867766E-01
-0.47000, 0.10000,  4.8454326992E-01
-0.47000, 0.11000,  4.8712735228E-01
-0.47000, 0.12000,  4.8989625689E-01
-0.47000, 0.13000,  4.9284534883E-01
-0.47000, 0.14000,  4.9597001831E-01
-0.47000, 0.15000,  4.9926567792E-01
-0.47000, 0.16000,  5.0272776295E-01
-0.47000, 0.17000,  5.0635173365E-01
-0.47000, 0.18000,  5.1013307846E-01
-0.47000, 0.19000,  5.1406731788E-01
-0.47000, 0.20000,  5.1815000839E-01
-0.47000, 0.21000,  5.2237674636E-01
-0.47000, 0.22000,  5.2674317164E-01
-0.47000, 0.23000,  5.3124497089E-01
-0.47000, 0.24000,  5.3587788036E-01
-0.47000, 0.25000,  5.4063768833E-01
-0.47000, 0.26000,  5.4552023701E-01
-0.47000, 0.27000,  5.5052142400E-01
-0.47000, 0.28000,  5.5563720325E-01
-0.47000, 0.29000,  5.6086358569E-01
-0.47000, 0.30000,  5.6619663935E-01
-0.47000, 0.31000,  5.7163248920E-01
-0.47000, 0.32000,  5.7716731666E-01
-0.47000, 0.33000,  5.8279735887E-01
-0.47000, 0.34000,  5.8851890771E-01
-0.47000, 0.35000,  5.9432830869E-01
-0.47000, 0.36000,  6.0022195981E-01
-0.47000, 0.37000,  6.0619631034E-01
-0.47000, 0.38000,  6.1224785967E-01
-0.47000, 0.39000,  6.1837315632E-01
-0.47000, 0.40000,  6.2456879710E-01
-0.47000, 0.41000,  6.3083142664E-01
-0.47000, 0.42000,  6.3715773720E-01
-0.47000, 0.43000,  6.4354446893E-01
-0.47000, 0.44000,  6.4998841075E-01
-0.47000, 0.45000,  6.5648640165E-01
-0.47000, 0.46000,  6.6303533273E-01
-0.47000, 0.47000,  6.6963214990E-01
-0.47000, 0.48000,  6.7627385726E-01
-0.47000, 0.49000,  6.8295752121E-01
-0.47000, 0.50000,  6.8968027517E-01
-0.46000,-0.50000,  6.8227726368E-01
-0.46000,-0.49000,  6.7551919907E-01
-0.46000,-0.48000,  6.6879804806E-01
-0.46000,-0.47000,  6.6211669893E-01
-0.46000,-0.46000,  6.5547811752E-01
-0.46000,-0.45000,  6.4888534157E-01
-0.46000,-0.44000,  6.4234147582E-01
-0.46000,-0.43000,  6.3584968773E-01
-0.46000,-0.42000,  6.2941320398E-01
-0.46000,-0.41000,  6.2303530766E-01
-0.46000,-0.40000,  6.1671933628E-01
-0.46000,-0.39000,  6.1046868031E-01
-0.46000,-0.38000,  6.0428678244E-01
-0.46000,-0.37000,  5.9817713733E-01
-0.46000,-0.36000,  5.9214329182E-01
-0.46000,-0.35000,  5.8618884555E-01
-0.46000,-0.34000,  5.8031745180E-01
-0.46000,-0.33000,  5.7453281868E-01
-0.46000,-0.32000,  5.6883871024E-01
-0.46000,-0.31000,  5.6323894785E-01
-0.46000,-0.30000,  5.5773741133E-01
-0.46000,-0.29000,  5.5233804016E-01
-0.46000,-0.28000,  5.4704483440E-01
-0.46000,-0.27000,  5.4186185538E-01
-0.46000,-0.26000,  5.3679322616E-01
-0.46000,-0.25000,  5.3184313160E-01
-0.46000,-0.24000,  5.2701581796E-01
-0.46000,-0.23000,  5.2231559221E-01
-0.46000,-0.22000,  5.1774682070E-01
-0.46000,-0.21000,  5.1331392747E-01
-0.46000,-0.20000,  5.0902139195E-01
-0.46000,-0.19000,  5.0487374620E-01
-0.46000,-0.18000,  5.0087557170E-01
-0.46000,-0.17000,  4.9703149564E-01
-0.46000,-0.16000,  4.9334618701E-01
-0.46000,-0.15000,  4.8982435239E-01
-0.46000,-0.14000,  4.8647073199E-01
-0.46000,-0.13000,  4.8329009600E-01
-0.46000,-0.12000,  4.8028724200E-01
-0.46000,-0.11000,  4.7746699420E-01
-0.46000,-0.10000,  4.7483420570E-01
-0.46000,-0.09000,  4.7239376586E-01
-0.46000,-0.08000,  4.7015061581E-01
-0.46000,-0.07000,  4.6810977758E-01
-0.46000,-0.06000,  4.6627640616E-01
