iter,energy
   652,  6.2663661197E-01
   653,  6.2663658065E-01
   654,  6.2663654933E-01
   655,  6.2663651801E-01
   656,  6.2663648669E-01
   657,  6.2663645536E-01
   658,  6.2663642404E-01
   659,  6.2663639272E-01
   660,  6.2663636140E-01
   661,  6.2663633008E-01
   662,  6.2663629876E-01
   663,  6.2663626744E-01
   664,  6.2663623611E-01
   665,  6.2663620479E-01
   666,  6.2663617347E-01
   667,  6.2663614215E-01
   668,  6.2663611083E-01
   669,  6.2663607951E-01
   670,  6.2663604819E-01
   671,  6.2663601686E-01
   672,  6.2663598554E-01
   673,  6.2663595422E-01
   674,  6.2663592290E-01
   675,  6.2663589158E-01
   676,  6.2663586026E-01
   677,  6.2663582894E-01
   678,  6.2663579762E-01
   679,  6.2663576630E-01
   680,  6.2663573497E-01
   681,  6.2663570365E-01
   682,  6.2663567233E-01
   683,  6.2663564101E-01
   684,  6.2663560969E-01
   685,  6.2663557837E-01
   686,  6.2663554705E-01
   687,  6.2663551573E-01
   688,  6.2663548441E-01
   689,  6.2663545308E-01
   690,  6.2663542176E-01
   691,  6.2663539044E-01
   692,  6.2663535912E-01
   693,  6.2663532780E-01
   694,  6.2663529648E-01
   695,  6.2663526516E-01
   696,  6.2663523384E-01
   697,  6.2663520252E-01
   698,  6.2663517120E-01
   699,  6.2663513988E-01
   700,  6.2663510855E-01
   701,  6.2663507723E-01
   702,  6.2663504591E-01
   703,  6.2663501459E-01
   704,  6.2663498327E-01
   705,  6.2663495195E-01
   706,  6.2663492063E-01
   707,  6.2663488931E-01
   708,  6.2663485799E-01
   709,  6.2663482667E-01
   710,  6.2663479535E-01
   711,  6.2663476403E-01
   712,  6.2663473271E-01
   713,  6.2663470139E-01
   714,  6.2663467007E-01
   715,  6.2663463874E-01
   716,  6.2663460742E-01
   717,  6.2663457610E-01
   718,  6.2663454478E-01
   719,  6.2663451346E-01
   720,  6.2663448214E-01
   721,  6.2663445082E-01
   722,  6.2663441950E-01
   723,  6.2663438818E-01
   724,  6.2663435686E-01
   725,  6.2663432554E-01
   726,  6.2663429422E-01
   727,  6.2663426290E-01
   728,  6.2663423158E-01
   729,  6.2663420026E-01
   730,  6.2663416894E-01
   731,  6.2663413762E-01
   732,  6.2663410630E-01
   733,  6.2663407498E-01
   734,  6.2663404366E-01
   735,  6.2663401234E-01
   736,  6.2663398102E-01
   737,  6.2663394970E-01
   738,  6.2663391838E-01
   739,  6.2663388706E-01
   740,  6.2663385574E-01
   741,  6.2663382442E-01
   742,  6.2663379310E-01
   743,  6.2663376178E-01
   744,  6.2663373046E-01
   745,  6.2663369914E-01
   746,  6.2663366782E-01
   747,  6.2663363650E-01
   748,  6.2663360518E-01
   749,  6.2663357386E-01
   750,  6.2663354254E-01
   751,  6.2663351122E-01
   752,  6.2663347990E-01
   753,  6.2663344858E-01
   754,  6.2663341726E-01
   755,  6.2663338594E-01
   756,  6.2663335462E-01
   757,  6.2663332330E-01
   758,  6.2663329198E-01
   759,  6.2663326066E-01
   760,  6.2663322934E-01
   761,  6.2663319802E-01
   762,  6.2663316670E-01
   763,  6.2663313538E-01
   764,  6.2663310406E-01
   765,  6.2663307274E-01
   766,  6.2663304142E-01
   767,  6.2663301010E-01
   768,  6.2663297878E-01
   769,  6.2663294746E-01
   770,  6.2663291614E-01
   771,  6.2663288482E-01
   772,  6.2663285350E-01
   773,  6.2663282218E-01
   774,  6.2663279086E-01
   775,  6.2663275954E-01
   776,  6.2663272822E-01
   777,  6.2663269690E-01
   778,  6.2663266559E-01
   779,  6.2663263427E-01
   780,  6.2663260295E-01
   781,  6.2663257163E-01
   782,  6.2663254031E-01
   783,  6.2663250899E-01
   784,  6.2663247767E-01
   785,  6.2663244635E-01
   786,  6.2663241503E-01
   787,  6.2663238371E-01
   788,  6.2663235239E-01
   789,  6.2663232107E-01
   790,  6.2663228975E-01
   791,  6.2663225843E-01
   792,  6.2663222711E-01
   793,  6.2663219580E-01
   794,  6.2663216448E-01
   795,  6.2663213316E-01
   796,  6.2663210184E-01
   797,  6.2663207052E-01
   798,  6.2663203920E-01
   799,  6.2663200788E-01
   800,  6.2663197656E-01
   801,  6.2663194524E-01
   802,  6.2663191392E-01
   803,  6.2663188260E-01
   804,  6.2663185129E-01
   805,  6.2663181997E-01
   806,  6.2663178865E-01
   807,  6.2663175733E-01
   808,  6.2663172601E-01
   809,  6.2663169469E-01
   810,  6.2663166337E-01
   811,  6.2663163205E-01
   812,  6.2663160073E-01
   813,  6.2663156942E-01
   814,  6.2663153810E-01
   815,  6.2663150678E-01
   816,  6.2663147546E-01
   817,  6.2663144414E-01
   818,  6.2663141282E-01
   819,  6.2663138150E-01
   820,  6.2663135018E-01
   821,  6.2663131887E-01
   822,  6.2663128755E-01
   823,  6.2663125623E-01
   824,  6.2663122491E-01
   825,  6.2663119359E-01
   826,  6.2663116227E-01
   827,  6.2663113095E-01
   828,  6.2663109963E-01
   829,  6.2663106832E-01
   830,  6.2663103700E-01
   831,  6.2663100568E-01
   832,  6.2663097436E-01
   833,  6.2663094304E-01
   834,  6.2663091172E-01
   835,  6.2663088040E-01
   836,  6.2663084909E-01
   837,  6.2663081777E-01
   838,  6.2663078645E-01
   839,  6.2663075513E-01
   840,  6.2663072381E-01
   841,  6.2663069249E-01
   842,  6.2663066118E-01
   843,  6.2663062986E-01
   844,  6.2663059854E-01
   845,  6.2663056722E-01
   846,  6.2663053590E-01
   847,  6.2663050458E-01
   848,  6.2663047327E-01
   849,  6.2663044195E-01
   850,  6.2663041063E-01
   851,  6.2663037931E-01
   852,  6.2663034799E-01
   853,  6.2663031668E-01
   854,  6.2663028536E-01
   855,  6.2663025404E-01
   856,  6.2663022272E-01
   857,  6.2663019140E-01
   858,  6.2663016008E-01
   859,  6.2663012877E-01
   860,  6.2663009745E-01
   861,  6.2663006613E-01
   862,  6.2663003481E-01
   863,  6.2663000349E-01
   864,  6.2662997218E-01
   865,  6.2662994086E-01
   866,  6.2662990954E-01
   867,  6.2662987822E-01
   868,  6.2662984690E-01
   869,  6.2662981559E-01
   870,  6.2662978427E-01
   871,  6.2662975295E-01
   872,  6.2662972163E-01
   873,  6.2662969032E-01
   874,  6.2662965900E-01
   875,  6.2662962768E-01
   876,  6.2662959636E-01
   877,  6.2662956504E-01
   878,  6.2662953373E-01
   879,  6.2662950241E-01
   880,  6.2662947109E-01
   881,  6.2662943977E-01
   882,  6.2662940846E-01
   883,  6.2662937714E-01
   884,  6.2662934582E-01
   885,  6.2662931450E-01
   886,  6.2662928319E-01
   887,  6.2662925187E-01
   888,  6.2662922055E-01
   889,  6.2662918923E-01
   890,  6.2662915792E-01
   891,  6.2662912660E-01
   892,  6.2662909528E-01
   893,  6.2662906396E-01
   894,  6.2662903265E-01
   895,  6.2662900133E-01
   896,  6.2662897001E-01
   897,  6.2662893869E-01
   898,  6.2662890738E-01
   899,  6.2662887606E-01
   900,  6.2662884474E-01
   901,  6.2662881342E-01
   902,  6.2662878211E-01
   903,  6.2662875079E-01
   904,  6.2662871947E-01
   905,  6.2662868815E-01
   906,  6.2662865684E-01
   907,  6.2662862552E-01
   908,  6.2662859420E-01
   909,  6.2662856289E-01
   910,  6.2662853157E-01
   911,  6.2662850025E-01
   912,  6.2662846893E-01
   913,  6.2662843762E-01
   914,  6.2662840630E-01
   915,  6.2662837498E-01
   916,  6.2662834367E-01
   917,  6.2662831235E-01
   918,  6.2662828103E-01
   919,  6.2662824971E-01
   920,  6.2662821840E-01
   921,  6.2662818708E-01
   922,  6.2662815576E-01
   923,  6.2662812445E-01
   924,  6.2662809313E-01
   925,  6.2662806181E-01
   926,  6.2662803050E-01
   927,  6.2662799918E-01
   928,  6.2662796786E-01
   929,  6.2662793654E-01
   930,  6.2662790523E-01
   931,  6.2662787391E-01
   932,  6.2662784259E-01
   933,  6.2662781128E-01
   934,  6.2662777996E-01
   935,  6.2662774864E-01
   936,  6.2662771733E-01
   937,  6.2662768601E-01
   938,  6.2662765469E-01
   939,  6.2662762338E-01
   940,  6.2662759206E-01
   941,  6.2662756074E-01
   942,  6.2662752943E-01
   943,  6.2662749811E-01
   944,  6.2662746679E-01
   945,  6.2662743548E-01
   946,  6.2662740416E-01
   947,  6.2662737284E-01
   948,  6.2662734153E-01
   949,  6.2662731021E-01
   950,  6.2662727889E-01
   951,  6.2662724758E-01
   952,  6.2662721626E-01
   953,  6.2662718495E-01
   954,  6.2662715363E-01
   955,  6.2662712231E-01
   956,  6.2662709100E-01
   957,  6.2662705968E-01
   958,  6.2662702836E-01
   959,  6.2662699705E-01
   960,  6.2662696573E-01
   961,  6.2662693441E-01
   962,  6.2662690310E-01
   963,  6.2662687178E-01
   964,  6.2662684047E-01
   965,  6.2662680915E-01
   966,  6.2662677783E-01
   967,  6.2662674652E-01
   968,  6.2662671520E-01
   969,  6.2662668388E-01
   970,  6.2662665257E-01
   971,  6.2662662125E-01
   972,  6.2662658994E-01
   973,  6.2662655862E-01
   974,  6.2662652730E-01
   975,  6.2662649599E-01
   976,  6.2662646467E-01
   977,  6.2662643336E-01
   978,  6.2662640204E-01
   979,  6.2662637072E-01
   980,  6.2662633941E-01
   981,  6.2662630809E-01
   982,  6.2662627678E-01
   983,  6.2662624546E-01
   984,  6.2662621414E-01
   985,  6.2662618283E-01
   986,  6.2662615151E-01
   987,  6.2662612020E-01
   988,  6.2662608888E-01
   989,  6.2662605756E-01
   990,  6.2662602625E-01
   991,  6.2662599493E-01
   992,  6.2662596362E-01
   993,  6.2662593230E-01
   994,  6.2662590099E-01
   995,  6.2662586967E-01
   996,  6.2662583835E-01
   997,  6.2662580704E-01
