i,orig,reconstructed,abs_err
247, -2.6359237670E-02,  3.5736539552E-01,  3.8372463319E-01
248, -1.1422793530E-01,  1.9480894367E-01,  3.0903687897E-01
249, -1.3489610874E-01,  3.1511115984E-03,  1.3804722034E-01
250, -7.6298757701E-02, -1.8848018952E-01,  1.1218143182E-01
251,  2.7201899358E-02, -3.5095691424E-01,  3.7815881359E-01
252,  1.1494476943E-01, -4.5958567381E-01,  5.7453044324E-01
253,  1.3550379251E-01, -4.9786737145E-01,  6.3337116396E-01
254,  7.6812132529E-02, -4.6000931212E-01,  5.3682144465E-01
255, -2.6769690477E-02, -3.5180734202E-01,  3.2503765154E-01
256, -1.1458214339E-01, -1.8976372083E-01,  7.5181577437E-02
