idx,x,y,z,K_approx,K_exact,abs_err
256,************,************,************,1.185848E+00,1.000000E+00,1.858483E-01
257,1.991964E-01,9.381439E-01,************,1.185867E+00,1.000000E+00,1.858670E-01
258,4.860673E-01,************,************,1.185896E+00,1.000000E+00,1.858959E-01
259,************,2.795692E-01,************,1.182858E+00,1.000000E+00,1.828584E-01
260,8.615859E-01,4.107544E-01,************,1.182902E+00,1.000000E+00,1.829021E-01
261,************,************,************,1.182957E+00,1.000000E+00,1.829567E-01
262,************,8.912085E-01,************,1.183023E+00,1.000000E+00,1.830229E-01
263,8.458957E-01,************,************,1.183102E+00,1.000000E+00,1.831017E-01
264,************,************,************,1.183194E+00,1.000000E+00,1.831939E-01
265,5.021553E-01,8.020672E-01,************,1.183300E+00,1.000000E+00,1.833005E-01
266,1.712018E-01,************,************,1.183423E+00,1.000000E+00,1.834226E-01
267,************,5.682536E-01,************,1.183561E+00,1.000000E+00,1.835612E-01
268,9.368037E-01,8.899942E-02,************,1.183718E+00,1.000000E+00,1.837177E-01
269,************,************,************,1.183893E+00,1.000000E+00,1.838934E-01
270,************,9.373326E-01,************,1.184090E+00,1.000000E+00,1.840896E-01
271,6.368441E-01,************,************,1.184308E+00,1.000000E+00,1.843079E-01
272,************,7.493718E-02,************,1.184550E+00,1.000000E+00,1.845499E-01
273,7.352524E-01,5.721348E-01,************,1.186480E+00,1.000000E+00,1.864801E-01
274,************,************,************,1.186316E+00,1.000000E+00,1.863156E-01
275,************,7.791196E-01,************,1.186157E+00,1.000000E+00,1.861572E-01
276,8.955910E-01,************,************,1.186005E+00,1.000000E+00,1.860053E-01
277,************,************,************,1.185860E+00,1.000000E+00,1.858602E-01
278,3.098726E-01,8.677955E-01,************,1.185723E+00,1.000000E+00,1.857227E-01
279,3.568705E-01,************,************,1.185593E+00,1.000000E+00,1.855932E-01
280,************,3.827631E-01,************,1.185472E+00,1.000000E+00,1.854723E-01
281,8.710480E-01,2.801001E-01,************,1.185361E+00,1.000000E+00,1.853608E-01
282,************,************,************,1.185259E+00,1.000000E+00,1.852592E-01
283,************,8.878254E-01,************,1.185168E+00,1.000000E+00,1.851684E-01
284,7.466925E-01,************,************,1.185089E+00,1.000000E+00,1.850892E-01
285,************,************,************,1.185023E+00,1.000000E+00,1.850225E-01
286,5.772865E-01,6.950301E-01,************,1.184969E+00,1.000000E+00,1.849693E-01
287,4.369685E-02,************,************,1.184931E+00,1.000000E+00,1.849307E-01
288,************,6.324449E-01,************,1.184908E+00,1.000000E+00,1.849079E-01
289,8.955380E-01,************,************,1.184902E+00,1.000000E+00,1.849021E-01
290,************,************,************,1.184915E+00,1.000000E+00,1.849147E-01
291,1.124913E-01,8.840599E-01,************,1.184947E+00,1.000000E+00,1.849473E-01
292,5.127438E-01,************,************,1.185002E+00,1.000000E+00,1.850017E-01
293,************,1.882508E-01,************,1.185080E+00,1.000000E+00,1.850797E-01
294,7.632815E-01,4.446888E-01,************,1.185605E+00,1.000000E+00,1.856053E-01
295,************,************,************,1.182831E+00,1.000000E+00,1.828312E-01
296,************,7.943577E-01,************,1.182904E+00,1.000000E+00,1.829039E-01
297,8.097808E-01,************,************,1.183014E+00,1.000000E+00,1.830138E-01
298,************,************,************,1.183165E+00,1.000000E+00,1.831646E-01
299,3.990321E-01,7.726576E-01,************,1.183360E+00,1.000000E+00,1.833603E-01
300,2.269387E-01,************,************,1.183606E+00,1.000000E+00,1.836057E-01
301,************,4.619693E-01,************,1.187149E+00,1.000000E+00,1.871488E-01
302,8.473935E-01,1.519056E-01,************,1.186749E+00,1.000000E+00,1.867489E-01
303,************,************,************,1.186368E+00,1.000000E+00,1.863678E-01
304,************,8.514497E-01,************,1.186007E+00,1.000000E+00,1.860075E-01
305,6.294405E-01,************,************,1.185670E+00,1.000000E+00,1.856702E-01
306,************,************,************,1.185358E+00,1.000000E+00,1.853582E-01
307,6.221937E-01,5.726217E-01,************,1.185074E+00,1.000000E+00,1.850743E-01
308,************,************,************,1.184822E+00,1.000000E+00,1.848216E-01
309,************,6.647931E-01,************,1.184604E+00,1.000000E+00,1.846036E-01
