xc,omega,STFT_mag
   -3.737769,  4.8437500000E-01,  9.3291433258E-03
   -3.111546, -5.0000000000E-01,  1.7699693921E-01
   -3.111546, -4.8437500000E-01,  1.7736639166E-01
   -3.111546, -4.6875000000E-01,  1.7772567838E-01
   -3.111546, -4.5312500000E-01,  1.7807465608E-01
   -3.111546, -4.3750000000E-01,  1.7841318489E-01
   -3.111546, -4.2187500000E-01,  1.7874112850E-01
   -3.111546, -4.0625000000E-01,  1.7905835428E-01
   -3.111546, -3.9062500000E-01,  1.7936473336E-01
   -3.111546, -3.7500000000E-01,  1.7966014077E-01
   -3.111546, -3.5937500000E-01,  1.7994445553E-01
   -3.111546, -3.4375000000E-01,  1.8021756075E-01
   -3.111546, -3.2812500000E-01,  1.8047934376E-01
   -3.111546, -3.1250000000E-01,  1.8072969616E-01
   -3.111546, -2.9687500000E-01,  1.8096851395E-01
   -3.111546, -2.8125000000E-01,  1.8119569761E-01
   -3.111546, -2.6562500000E-01,  1.8141115216E-01
   -3.111546, -2.5000000000E-01,  1.8161478731E-01
   -3.111546, -2.3437500000E-01,  1.8180651746E-01
   -3.111546, -2.1875000000E-01,  1.8198626183E-01
   -3.111546, -2.0312500000E-01,  1.8215394449E-01
   -3.111546, -1.8750000000E-01,  1.8230949449E-01
   -3.111546, -1.7187500000E-01,  1.8245284583E-01
   -3.111546, -1.5625000000E-01,  1.8258393761E-01
   -3.111546, -1.4062500000E-01,  1.8270271402E-01
   -3.111546, -1.2500000000E-01,  1.8280912444E-01
   -3.111546, -1.0937500000E-01,  1.8290312342E-01
   -3.111546, -9.3750000000E-02,  1.8298467079E-01
   -3.111546, -7.8125000000E-02,  1.8305373165E-01
   -3.111546, -6.2500000000E-02,  1.8311027642E-01
   -3.111546, -4.6875000000E-02,  1.8315428086E-01
   -3.111546, -3.1250000000E-02,  1.8318572610E-01
   -3.111546, -1.5625000000E-02,  1.8320459865E-01
   -3.111546,  0.0000000000E+00,  1.8321089040E-01
   -3.111546,  1.5625000000E-02,  1.8320459865E-01
   -3.111546,  3.1250000000E-02,  1.8318572610E-01
   -3.111546,  4.6875000000E-02,  1.8315428086E-01
   -3.111546,  6.2500000000E-02,  1.8311027642E-01
   -3.111546,  7.8125000000E-02,  1.8305373165E-01
   -3.111546,  9.3750000000E-02,  1.8298467079E-01
   -3.111546,  1.0937500000E-01,  1.8290312342E-01
   -3.111546,  1.2500000000E-01,  1.8280912444E-01
   -3.111546,  1.4062500000E-01,  1.8270271402E-01
   -3.111546,  1.5625000000E-01,  1.8258393761E-01
   -3.111546,  1.7187500000E-01,  1.8245284583E-01
   -3.111546,  1.8750000000E-01,  1.8230949449E-01
   -3.111546,  2.0312500000E-01,  1.8215394449E-01
   -3.111546,  2.1875000000E-01,  1.8198626183E-01
   -3.111546,  2.3437500000E-01,  1.8180651746E-01
   -3.111546,  2.5000000000E-01,  1.8161478731E-01
   -3.111546,  2.6562500000E-01,  1.8141115216E-01
   -3.111546,  2.8125000000E-01,  1.8119569761E-01
   -3.111546,  2.9687500000E-01,  1.8096851395E-01
   -3.111546,  3.1250000000E-01,  1.8072969616E-01
   -3.111546,  3.2812500000E-01,  1.8047934376E-01
   -3.111546,  3.4375000000E-01,  1.8021756075E-01
   -3.111546,  3.5937500000E-01,  1.7994445553E-01
   -3.111546,  3.7500000000E-01,  1.7966014077E-01
   -3.111546,  3.9062500000E-01,  1.7936473336E-01
   -3.111546,  4.0625000000E-01,  1.7905835428E-01
   -3.111546,  4.2187500000E-01,  1.7874112850E-01
   -3.111546,  4.3750000000E-01,  1.7841318489E-01
   -3.111546,  4.5312500000E-01,  1.7807465608E-01
   -3.111546,  4.6875000000E-01,  1.7772567838E-01
   -3.111546,  4.8437500000E-01,  1.7736639166E-01
   -2.485323, -5.0000000000E-01,  1.6354886499E+00
   -2.485323, -4.8437500000E-01,  1.6407842275E+00
   -2.485323, -4.6875000000E-01,  1.6459422606E+00
