x,k,symbol
  6.5000000000E+00,  3.2500000000E+00,  3.4003676272E+00
  6.6000000000E+00,  3.3000000000E+00,  3.4481879299E+00
  6.7000000000E+00,  3.3500000000E+00,  3.4960692213E+00
  6.8000000000E+00,  3.4000000000E+00,  3.5440090293E+00
  6.9000000000E+00,  3.4500000000E+00,  3.5920050111E+00
  7.0000000000E+00,  3.5000000000E+00,  3.6400549446E+00
  7.1000000000E+00,  3.5500000000E+00,  3.6881567212E+00
  7.2000000000E+00,  3.6000000000E+00,  3.7363083385E+00
  7.3000000000E+00,  3.6500000000E+00,  3.7845078940E+00
  7.4000000000E+00,  3.7000000000E+00,  3.8327535793E+00
  7.5000000000E+00,  3.7500000000E+00,  3.8810436741E+00
  7.6000000000E+00,  3.8000000000E+00,  3.9293765409E+00
  7.7000000000E+00,  3.8500000000E+00,  3.9777506206E+00
  7.8000000000E+00,  3.9000000000E+00,  4.0261644278E+00
  7.9000000000E+00,  3.9500000000E+00,  4.0746165464E+00
  8.0000000000E+00,  4.0000000000E+00,  4.1231056256E+00
  8.1000000000E+00,  4.0500000000E+00,  4.1716303767E+00
  8.2000000000E+00,  4.1000000000E+00,  4.2201895692E+00
  8.3000000000E+00,  4.1500000000E+00,  4.2687820277E+00
  8.4000000000E+00,  4.2000000000E+00,  4.3174066290E+00
  8.5000000000E+00,  4.2500000000E+00,  4.3660622991E+00
  8.6000000000E+00,  4.3000000000E+00,  4.4147480109E+00
  8.7000000000E+00,  4.3500000000E+00,  4.4634627813E+00
  8.8000000000E+00,  4.4000000000E+00,  4.5122056691E+00
  8.9000000000E+00,  4.4500000000E+00,  4.5609757728E+00
  9.0000000000E+00,  4.5000000000E+00,  4.6097722286E+00
  9.1000000000E+00,  4.5500000000E+00,  4.6585942086E+00
  9.2000000000E+00,  4.6000000000E+00,  4.7074409184E+00
  9.3000000000E+00,  4.6500000000E+00,  4.7563115962E+00
  9.4000000000E+00,  4.7000000000E+00,  4.8052055107E+00
  9.5000000000E+00,  4.7500000000E+00,  4.8541219597E+00
  9.6000000000E+00,  4.8000000000E+00,  4.9030602689E+00
  9.7000000000E+00,  4.8500000000E+00,  4.9520197899E+00
  9.8000000000E+00,  4.9000000000E+00,  5.0009999000E+00
  9.9000000000E+00,  4.9500000000E+00,  5.0500000000E+00
  1.0000000000E+01,  5.0000000000E+00,  5.0990195136E+00
