x,y,u_numeric,u_exact,abs_error
  0.9500,  0.1000, -4.8365608898E-02,  4.8340908203E-02,  9.6706517101E-02
  0.9750,  0.1000, -2.4257582480E-02,  2.4245193943E-02,  4.8502776423E-02
  1.0000,  0.1000,  0.0000000000E+00,  3.7843667304E-17,  3.7843667304E-17
  0.0000,  0.1250,  0.0000000000E+00,  0.0000000000E+00,  0.0000000000E+00
  0.0250,  0.1250, -3.0040337889E-02,  3.0024996053E-02,  6.0065333942E-02
  0.0500,  0.1250, -5.9895467105E-02,  5.9864878022E-02,  1.1976034513E-01
  0.0750,  0.1250, -8.9381320850E-02,  8.9335673110E-02,  1.7871699396E-01
  0.1000,  0.1250, -1.1831610903E-01,  1.1825568407E-01,  2.3657179310E-01
  0.1250,  0.1250, -1.4652143905E-01,  1.4644660941E-01,  2.9296804846E-01
  0.1500,  0.1250, -1.7382341568E-01,  1.7373464270E-01,  3.4755805838E-01
  0.1750,  0.1250, -2.0005371315E-01,  1.9995154415E-01,  4.0000525730E-01
  0.2000,  0.1250, -2.2505061295E-01,  2.2493567784E-01,  4.4998629079E-01
  0.2250,  0.1250, -2.4866000088E-01,  2.4853300828E-01,  4.9719300916E-01
  0.2500,  0.1250, -2.7073631723E-01,  2.7059805007E-01,  5.4133436730E-01
  0.2750,  0.1250, -2.9114345415E-01,  2.9099476491E-01,  5.8213821905E-01
  0.3000,  0.1250, -3.0975559485E-01,  3.0959740025E-01,  6.1935299510E-01
  0.3250,  0.1250, -3.2645798932E-01,  3.2629126467E-01,  6.5274925398E-01
  0.3500,  0.1250, -3.4114766171E-01,  3.4097343494E-01,  6.8212109665E-01
  0.3750,  0.1250, -3.5373404534E-01,  3.5355339059E-01,  7.0728743593E-01
  0.4000,  0.1250, -3.6413954094E-01,  3.6395357203E-01,  7.2809311297E-01
  0.4250,  0.1250, -3.7229999519E-01,  3.7210985867E-01,  7.4440985385E-01
  0.4500,  0.1250, -3.7816509616E-01,  3.7797196429E-01,  7.5613706044E-01
  0.4750,  0.1250, -3.8169868356E-01,  3.8150374706E-01,  7.6320243062E-01
  0.5000,  0.1250, -3.8287897165E-01,  3.8268343237E-01,  7.6556240402E-01
  0.5250,  0.1250, -3.8169868356E-01,  3.8150374706E-01,  7.6320243062E-01
  0.5500,  0.1250, -3.7816509616E-01,  3.7797196429E-01,  7.5613706044E-01
  0.5750,  0.1250, -3.7229999519E-01,  3.7210985867E-01,  7.4440985385E-01
  0.6000,  0.1250, -3.6413954094E-01,  3.6395357203E-01,  7.2809311297E-01
  0.6250,  0.1250, -3.5373404534E-01,  3.5355339059E-01,  7.0728743593E-01
  0.6500,  0.1250, -3.4114766171E-01,  3.4097343494E-01,  6.8212109665E-01
  0.6750,  0.1250, -3.2645798932E-01,  3.2629126467E-01,  6.5274925398E-01
